"length","type","comblength","height","probability"
5,"Single",1,12,0.05359388940874372
5,"Single",1,7,0.03767327486779971
5,"Single",1,4,0.037908297608426
5,"Trio",3,7,0.0033947729201575525
5,"Pair",2,7,0.014162296259221378
8,"Single",1,12,0.05138096535625323
8,"Single",1,9,0.05207182350076273
8,"Pair",2,3,0.011950558586701625
8,"Single",1,2,0.049458577475878965
8,"Single",1,3,0.04908096557080545
8,"Pair",2,12,0.012838804772499554
8,"Single",1,4,0.04945714712775369
8,"Single",1,0,0.01622229326284578
5,"Single",1,1.5,0.019868126128870803
5,"Single",1,6,0.03703784301351381
5,"Pair",2,6,0.01276521663438731
5,"Single",1,15,0.02007703523164973
5,"Single",1,11,0.05076491197527909
8,"Pair",2,14,0.012151522498303249
8,"Single",1,14,0.05297651869000137
8,"Single",1,15,0.016559140246348858
8,"Single",1,11,0.05199887574637353
8,"Single",1,5,0.050002109763484785
11,"Straight",5,9,0.01097412949744556
11,"Single",1,9,0.036311324685677014
11,"Straight",7,8,0.0037705170477191205
11,"StraightBomb",5,6,0.00030571759846371245
11,"Straight",5,6,0.0083687361860937
11,"Straight",6,7,0.0058403384180586255
11,"Single",1,14,0.03280576288995978
11,"Straight",6,10,0.007316841189898185
11,"Straight",7,10,0.004549530780100728
11,"Single",1,6,0.03691483387079242
11,"Straight",5,8,0.010620855828109715
11,"Single",1,3,0.03320772491756948
11,"Straight",6,8,0.006779004674082394
11,"Straight",9,10,0.0011968277836153483
11,"Single",1,8,0.037094867567665495
11,"Straight",5,10,0.010932234863582014
11,"Straight",7,9,0.0044193177289032215
11,"Straight",5,7,0.009874678430377912
11,"Single",1,10,0.03598635820138411
11,"Straight",8,10,0.002549911228667705
11,"Single",1,5,0.03524697452806261
11,"Straight",6,9,0.007295327729265553
11,"Single",1,7,0.03715940794956339
11,"Single",1,2,0.03282840863799413
11,"Pair",2,6,0.012802773651219247
11,"Straight",8,9,0.0023121308743070403
11,"Single",1,4,0.03427433964998732
9,"Single",1,13,0.03881432990512341
9,"Single",1,8,0.04276582218655418
9,"Single",1,9,0.041924369327375206
9,"Straight",5,10,0.008470131203629739
9,"Single",1,15,0.013292731070554155
9,"Single",1,10,0.04193178300895387
9,"Pair",2,13,0.016306392632283246
9,"Pair",2,10,0.015876399100720424
9,"Single",1,6,0.04000051895771051
9,"Single",1,7,0.04225242473723132
12,"Pair",2,4,0.013052988562264204
12,"Single",1,9,0.03394864583764144
12,"FullHouse",5,5,0.003160044053740662
12,"PairSteps",2,5,0.00450876862442348
12,"Single",1,14,0.03207069430594679
12,"Single",1,10,0.033761769747211796
12,"Single",1,11,0.03261830252175498
12,"Single",1,5,0.03314293416906772
12,"Pair",2,5,0.012415771729323769
12,"Single",1,2,0.03139748084903016
12,"Pair",2,11,0.013184720888304774
12,"Single",1,3,0.031561380370964356
12,"Trio",3,5,0.003312455291427136
12,"Single",1,4,0.032299694105284764
6,"Pair",2,4,0.012904377749281737
6,"Single",1,13,0.054412647913386465
6,"Single",1,3,0.03719057899264694
6,"Single",1,14,0.056142970766309024
6,"Single",1,4,0.03679127371889558
6,"PairSteps",2,4,0.002188063044783872
6,"Pair",2,3,0.013595857613582871
14,"Single",1,1,0.01163620733485449
14,"Single",1,12,0.03140669346169463
14,"Single",1,9,0.031913883584973685
14,"PairSteps",2,12,0.004999918295228917
14,"Single",1,11,0.031741165904330126
14,"Single",1,3,0.031060017015277136
14,"Straight",5,12,0.01043876703156638
14,"Pair",2,12,0.012401750012772834
14,"Single",1,13,0.031021957071279034
14,"Single",1,8,0.03200220747675189
14,"Trio",3,12,0.0025384327866560183
14,"Single",1,10,0.0318996111059744
14,"FullHouse",5,12,0.0025067851158315094
14,"Single",1,5,0.031934568337146564
14,"Straight",6,13,0.006989998301781847
14,"Single",1,2,0.030975209531368324
14,"Pair",2,11,0.012225102229216427
14,"Straight",5,5,0.0035883908069514834
14,"Single",1,4,0.03161292044085826
14,"Straight",5,13,0.010039344467108038
12,"Straight",5,9,0.011453053509364484
12,"StraightBomb",5,9,0.00028031413564446976
12,"Pair",2,13,0.014544933743235315
12,"Single",1,6,0.03436988292672466
12,"StraightBomb",6,9,7.812033288452437e-05
12,"Straight",5,8,0.011062451844941862
12,"Straight",6,8,0.007357097232242559
12,"FullHouse",5,7,0.003189913592784745
12,"Trio",3,7,0.0033040305496454714
12,"Single",1,13,0.03188228644428412
12,"Single",1,8,0.03441124075001647
12,"Straight",7,9,0.005039527356668337
12,"Straight",5,7,0.010325669881854484
12,"Pair",2,3,0.013744583273977198
12,"StraightBomb",5,8,0.00026499642331417086
12,"Straight",6,9,0.007883260650788326
12,"Single",1,7,0.03453301656304234
12,"Pair",2,7,0.012323865455341976
1,"Single",1,10,0.05943868238527776
1,"Single",1,14,0.08336017522386137
2,"Single",1,15,0.05032802027331076
2,"Single",1,6,0.03481514814200791
3,"Single",1,10,0.04870829304700355
3,"Pair",2,10,0.016911777178430273
3,"Single",1,2,0.049980492935049955
9,"Pair",2,4,0.013620786480410273
9,"PairSteps",2,5,0.00333615671040121
9,"PairSteps",3,6,0.0005930945262935484
9,"Single",1,5,0.03797658388673377
9,"PairSteps",2,6,0.003249045951851845
9,"Pair",2,5,0.013424323918575535
9,"Pair",2,6,0.013826516144218348
9,"Single",1,4,0.036065707459831745
14,"Pair",2,9,0.012005016466096967
14,"Straight",5,6,0.010549223608169567
14,"Straight",6,7,0.007424171249890629
14,"Single",1,6,0.03208929028339972
14,"SquareBomb",4,9,0.0001747861558608487
14,"Pair",2,2,0.012201314764217612
14,"Straight",5,7,0.01089776168228262
14,"Single",1,15,0.01163641418237622
14,"Straight",6,6,0.002536571158960459
14,"Trio",3,9,0.002450108894877814
14,"Single",1,7,0.03201668680327291
14,"Pair",2,6,0.011813268813454356
14,"FullHouse",5,9,0.0024184612240533056
14,"Straight",7,7,0.0017158001927405208
11,"Single",1,12,0.03283407007500272
11,"SquareBomb",4,13,0.00035440595673756295
11,"Single",1,13,0.033155639697090476
11,"PairSteps",2,13,0.004011694264284938
11,"FullHouse",5,13,0.0032496648429290917
11,"Pair",2,3,0.014483088155367948
11,"Trio",3,13,0.003522546106742998
11,"Pair",2,13,0.015017527808978587
11,"Pair",2,12,0.013616888293054095
11,"Single",1,0,0.0128322131236639
12,"Straight",6,12,0.006939689571241914
12,"Single",1,1.5,0.012307015971778646
12,"Single",1,12,0.03191062421209517
12,"PairSteps",2,7,0.004359420929203065
12,"Straight",6,10,0.007989718751483903
12,"Straight",5,11,0.01067031840928621
12,"Straight",7,14,0.0033760237975978763
12,"Straight",8,13,0.002739572850273957
12,"Straight",5,12,0.009653222310554363
12,"PairSteps",3,8,0.0010308820398291156
12,"Pair",2,8,0.012379009219731051
12,"Straight",8,12,0.003072733093457958
12,"Straight",5,13,0.008540390509758149
12,"Straight",7,12,0.004766106191572501
12,"Straight",6,14,0.004989744791594865
12,"Straight",5,14,0.006636398867101996
12,"PairSteps",2,9,0.004409203494276537
12,"Straight",9,13,0.0016389952193419817
12,"Straight",10,14,0.0007444408192525262
12,"Straight",7,11,0.005166664369009817
12,"PairSteps",2,8,0.004470474343597732
12,"Straight",6,11,0.007646601995285208
12,"Straight",5,10,0.011416290999771766
12,"Straight",7,13,0.004190926093569777
12,"Straight",6,13,0.006097215393075475
12,"Straight",8,14,0.002215707088577735
12,"Straight",9,14,0.001371701139178266
12,"Pair",2,6,0.01203359480668281
7,"Pair",2,9,0.01605976443964409
7,"SquareBomb",4,9,0.0003677416036619863
7,"Single",1,9,0.044949339093761254
7,"Single",1,6,0.03933806511340843
7,"Single",1,2,0.03757650568327933
7,"Single",1,15,0.0175461605719282
7,"Trio",3,9,0.003391966260350769
12,"Pair",2,12,0.013494138677376812
12,"PairSteps",2,13,0.004612163182652997
12,"PairSteps",3,6,0.0009611864487262556
12,"PairSteps",2,6,0.004180969580555083
8,"Single",1,13,0.05217552373984542
8,"Single",1,8,0.0520675324563869
8,"Straight",5,10,0.0036223566272677275
8,"Single",1,10,0.052321419248623824
8,"Pair",2,13,0.01323644155132697
8,"Single",1,6,0.05087676764209257
8,"Single",1,7,0.051454628284705074
13,"Straight",6,12,0.007562363025824622
13,"Single",1,12,0.0320343109461314
13,"Single",1,9,0.03267651299330953
13,"Pair",2,14,0.012769985211996102
13,"Straight",7,12,0.0052475428539690405
13,"Single",1,14,0.0322668922280824
13,"Straight",5,11,0.011090424362484292
13,"Single",1,11,0.032421367855646865
13,"Single",1,6,0.03225879238244231
13,"Straight",5,12,0.010484093060283679
13,"Single",1,8,0.03268692708056106
13,"Straight",6,11,0.008003804613209228
13,"Straight",5,10,0.011478638392805485
13,"Single",1,15,0.012334907789042992
13,"Single",1,10,0.03268403427854675
13,"Pair",2,10,0.012723121819364185
13,"Single",1,7,0.03254228697984527
13,"Single",1,4,0.03030210109995904
13,"Pair",2,7,0.011939172473484578
6,"Single",1,12,0.05089681367377084
6,"Pair",2,8,0.015095687178405051
6,"Single",1,8,0.04154722677617803
6,"Pair",2,10,0.01916340675572581
6,"Pair",2,12,0.020559352021685847
6,"Single",1,10,0.049523593098186894
13,"Single",1,1.5,0.012002814117799526
13,"PairSteps",2,11,0.004717581524946368
13,"PairSteps",2,12,0.004965205377371809
13,"Straight",5,14,0.008282092166986417
13,"PairSteps",3,12,0.0011519137621005908
13,"Single",1,3,0.02962402830780339
13,"Pair",2,12,0.013604269312924808
13,"Single",1,13,0.03148525712381424
13,"PairSteps",2,13,0.005349948045275823
13,"Straight",7,13,0.004767916279995464
13,"Pair",2,3,0.012879333128137244
13,"Single",1,5,0.031044394096832496
13,"Straight",6,13,0.006902225606157734
13,"Single",1,2,0.029251435408359505
13,"PairSteps",2,3,0.00555880835070943
13,"Straight",5,13,0.009625509422434722
14,"Straight",5,9,0.011103161271359333
14,"Straight",6,10,0.007772088781438496
14,"Straight",7,10,0.005279162449562817
14,"PairSteps",2,9,0.005085346321702918
14,"Straight",5,8,0.011120122768141097
14,"Pair",2,5,0.01187015188192978
14,"Single",1,0,0.011636000487332761
14,"Straight",5,10,0.011019181177537436
14,"PairSteps",2,6,0.0049986772100985444
14,"Pair",2,8,0.01191379670901456
14,"Straight",6,9,0.007830419782566022
4,"Pair",2,12,0.023637583625093838
4,"Single",1,10,0.04902240853557264
4,"Pair",2,10,0.019392385216877157
4,"Single",1,12,0.06261501564544954
14,"Pair",2,14,0.01240257740285975
14,"Single",1,14,0.031671665137029244
14,"Trio",3,5,0.002513817931570289
14,"Pair",2,4,0.012061485839528934
14,"FullHouse",5,5,0.002475964835093916
14,"PairSteps",2,5,0.0051426430852218
14,"Pair",2,10,0.012106785446787545
8,"Pair",2,10,0.012975403018463649
12,"Pair",2,14,0.01183676220323847
12,"FullHouse",5,2,0.003978009892178623
12,"Trio",3,2,0.004227688603162495
12,"Pair",2,2,0.013386148805448203
5,"Pair",2,9,0.01691728505211847
5,"SquareBomb",4,9,0.0006049659434639741
5,"Single",1,9,0.04145104780971862
5,"Single",1,2,0.04347485474288947
5,"Trio",3,9,0.0036123865688856005
14,"PairSteps",2,11,0.004932279155623594
14,"PairSteps",3,12,0.0011926828102883475
9,"FullHouse",5,5,0.0029061631788383875
9,"Single",1,14,0.04045090011361467
9,"Single",1,3,0.03478684738751128
9,"Trio",3,5,0.0032675801557985186
9,"Single",1,0,0.013956255571845062
14,"SquareBomb",4,13,0.00021553511764142526
14,"FullHouse",5,13,0.0025847666315232725
14,"Pair",2,3,0.012333697178124055
14,"Trio",3,13,0.0026222060329561883
14,"Pair",2,13,0.012684510574976125
13,"Pair",2,4,0.012264901980296547
13,"Pair",2,9,0.012391606708523583
13,"PairSteps",2,4,0.005024218538463853
13,"Pair",2,11,0.013158199242317297
9,"PairSteps",2,8,0.003901449930774748
9,"Pair",2,3,0.01405448685276243
9,"Pair",2,8,0.014825509736944043
9,"Pair",2,7,0.014490040645509255
13,"PairSteps",2,7,0.00454517052489314
13,"Straight",6,10,0.008117781012573275
13,"Straight",7,14,0.004445658135600673
13,"Straight",8,13,0.003171089568093088
13,"PairSteps",3,8,0.0011305070271946532
13,"Pair",2,8,0.012110426352732078
13,"PairSteps",2,14,0.005656585058793308
13,"Straight",8,12,0.003447641440661688
13,"Straight",5,9,0.011355983587398491
13,"Straight",6,14,0.00636647867310643
13,"PairSteps",2,9,0.004833293605519004
13,"Straight",9,13,0.0019723124133605796
13,"Straight",10,14,0.0011241428627631583
13,"Straight",7,11,0.005498059508408797
13,"PairSteps",2,8,0.004754030830326748
13,"Straight",8,14,0.002990578722399776
13,"Straight",9,14,0.0019115635710599459
13,"Pair",2,6,0.011605921681435385
8,"Pair",2,11,0.012941074663456965
10,"Single",1,9,0.03897927727350574
10,"FullHouse",5,5,0.0032555387753195595
10,"Single",1,14,0.03515390244282178
10,"Single",1,10,0.03854800790919989
10,"Single",1,11,0.03586074826013172
10,"Single",1,5,0.03717635336063149
10,"Pair",2,5,0.013808404303352069
10,"Single",1,2,0.03304114963645705
10,"Pair",2,11,0.014130688629746688
10,"Single",1,3,0.034015787261206
10,"Trio",3,5,0.0035933923928443538
10,"Straight",6,12,0.0054149994550748105
10,"Single",1,1.5,0.01202416353983403
10,"Single",1,12,0.03426178206106276
10,"Straight",5,9,0.010513942300207071
10,"Straight",7,12,0.0032321848386242975
10,"Straight",6,14,0.003190147752572825
10,"Straight",5,14,0.00444970340500397
10,"Straight",6,10,0.006606050226533186
10,"Straight",5,11,0.009486369085615532
10,"Straight",9,13,0.0006134300705288888
10,"Straight",7,14,0.001995983122888415
10,"Single",1,6,0.03900885892665307
10,"Straight",8,13,0.0014759687991405751
10,"Straight",5,12,0.008220585716732317
10,"Straight",7,11,0.0035077612916283923
10,"Single",1,13,0.03481760575441
10,"Single",1,8,0.03995391489825468
10,"Straight",6,11,0.006121845272384748
10,"Straight",5,10,0.010507714583755002
10,"Straight",7,13,0.00273552445157172
10,"Straight",6,13,0.004459044979682075
10,"Straight",8,14,0.0011194320322595712
10,"Single",1,7,0.039704806240171885
10,"Straight",9,14,0.0004888757414874901
10,"Straight",8,12,0.0016067508446340438
10,"Straight",5,13,0.006620062588550343
3,"Single",1,14,0.11448102725900293
2,"Single",1,10,0.04901357080264311
2,"Pair",2,10,0.014304999644743386
14,"FullHouse",5,6,0.0024074983054016784
14,"Trio",3,6,0.0024389391287044583
14,"PairSteps",2,13,0.00519663028839302
14,"FullHouse",5,4,0.0025897309720447643
14,"Trio",3,4,0.0026306867813470696
14,"Pair",2,7,0.01184243431401812
14,"Straight",6,12,0.007323850201852154
14,"Single",1,1.5,0.011635793639811032
14,"PairSteps",4,13,0.00022629118877132365
14,"Straight",5,11,0.010782133917636213
14,"Straight",7,14,0.004601116273335762
14,"Straight",8,13,0.00304955301284792
14,"PairSteps",2,10,0.005035702916488002
14,"PairSteps",3,13,0.0012183319029827205
14,"Straight",8,12,0.0032737757264019555
14,"Straight",7,12,0.00496806377688268
14,"Straight",6,14,0.0068205901814859474
14,"Straight",5,14,0.009034479206549454
14,"Straight",9,13,0.0019118916433394375
14,"Straight",7,11,0.005207800054566376
14,"PairSteps",3,11,0.0011939238954187205
14,"Straight",6,11,0.007590062962317139
14,"Straight",7,13,0.004712193392504135
14,"Straight",8,14,0.0030079766609804283
14,"Straight",9,14,0.0018750727844717083
11,"Straight",6,12,0.006055473024384942
